name,abbreviation,nirf_rank,nirf_rank_year,rating,review_count,state,city,affiliation,founded_year,is_premier,placement_percentage,avg_package,highest_package,description
"AL BARKAT INSTITUTE OF MANAGEMENT STUDIES, ALIGARH",ABIOM,,,3.7,186,Uttar Pradesh,Aligarh,UGC Recognized,1967,FALSE,55.8,6.9,27.8,"AL BARKAT INSTITUTE OF MANAGEMENT STUDIES, ALIGARH is a renowned institution located in Aligarh, Uttar Pradesh. It offers comprehensive higher education programs."
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, PATNA",AIIOM,,,4.4,44,Bihar,Patna,UGC Recognized,1977,FALSE,88.6,6.5,16.5,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, PATNA is a renowned institution located in Patna, Bihar. It offers comprehensive higher education programs."
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RAIPUR",AIIOM,,,4.1,428,Chhattisgarh,Raipur,UGC Recognized,2011,FALSE,70.3,4.5,20.0,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RAIPUR is a renowned institution located in Raipur, Chhattisgarh. It offers comprehensive higher education programs."
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH",AIIOM,,,4.2,17,Uttarakhand,Rishikesh,AICTE Approved,1981,FALSE,59.7,5.0,18.0,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH is a renowned institution located in Rishikesh, Uttarakhand. It offers comprehensive higher education programs."
"AMALA INSTITUTE OF MEDICAL SCIENCES, THRISSUR",AIOMS,,,4.4,217,Kerala,Thrissur,AICTE Approved,1967,FALSE,61.3,6.3,17.8,"AMALA INSTITUTE OF MEDICAL SCIENCES, THRISSUR is a renowned institution located in Thrissur, Kerala. It offers comprehensive higher education programs."
AMJAD ALI KHAN COLLEGE OF BUSINESS ADMINISTRATION,AAKCO,,,3.5,448,Telangana,Hyderabad,Central University Affiliated,2004,FALSE,68.7,4.2,7.9,"AMJAD ALI KHAN COLLEGE OF BUSINESS ADMINISTRATION is a renowned institution located in Hyderabad, Telangana. It offers comprehensive higher education programs."
"ANNADA COLLEGE, HAZARIBAG",ACH,,,4.8,370,Jharkhand,Hazaribag,Central University Affiliated,1975,FALSE,75.1,5.1,12.0,"ANNADA COLLEGE, HAZARIBAG is a renowned institution located in Hazaribag, Jharkhand. It offers comprehensive higher education programs."
APEEJAY INSTITUTE OF MANAGEMENT AND ENGINEERING TECHNICAL CAMPUS,AIOMA,,,4.2,298,Punjab,Jalandhar,Private Autonomous,2003,FALSE,90.2,5.9,22.8,"APEEJAY INSTITUTE OF MANAGEMENT AND ENGINEERING TECHNICAL CAMPUS is a renowned institution located in Jalandhar, Punjab. It offers comprehensive higher education programs."
"APSPM`S ARTS & SCIENCE COLLEGE, AINPUR",AASCA,,,4.6,86,Maharashtra,AINPUR,UGC Recognized,1970,FALSE,85.2,4.6,9.7,"APSPM`S ARTS & SCIENCE COLLEGE, AINPUR is a renowned institution located in AINPUR, Maharashtra. It offers comprehensive higher education programs."
ATME College of Engineering,ACOE,,,4.2,224,Karnataka,Mysore,UGC Recognized,1987,FALSE,92.3,3.7,15.6,"ATME College of Engineering is a renowned institution located in Mysore, Karnataka. It offers comprehensive higher education programs."
AU College of Engineering (A),ACOE,77,2024,3.6,212,Andhra Pradesh,Visakhapatnam,AICTE Approved,1956,TRUE,87.7,12.7,29.2,"AU College of Engineering (A) is a renowned institution located in Visakhapatnam, Andhra Pradesh. It offers comprehensive higher education programs."
AVS College of Arts & Science,ACOAS,,,4.2,410,Tamil Nadu,Salem,UGC Recognized,1974,FALSE,60.8,7.0,32.0,"AVS College of Arts & Science is a renowned institution located in Salem, Tamil Nadu. It offers comprehensive higher education programs."
AVS College of Technology (Formerly AVS Technical Campus),ACOTA,,,4.5,204,Tamil Nadu,SALEM,UGC Recognized,1966,FALSE,89.7,7.1,35.1,"AVS College of Technology (Formerly AVS Technical Campus) is a renowned institution located in SALEM, Tamil Nadu. It offers comprehensive higher education programs."
"AVVP Shree Annadaneshwar College, Naregal",ASACN,,,3.5,179,Karnataka,Gadag,Central University Affiliated,1952,FALSE,75.3,5.1,13.5,"AVVP Shree Annadaneshwar College, Naregal is a renowned institution located in Gadag, Karnataka. It offers comprehensive higher education programs."
Aalim Muhammed Salegh College of Engineering,AMSCO,,,3.4,219,Tamil Nadu,Thiruvallur,AICTE Approved,1988,FALSE,56.0,6.2,18.4,"Aalim Muhammed Salegh College of Engineering is a renowned institution located in Thiruvallur, Tamil Nadu. It offers comprehensive higher education programs."
Aarupadai Veedu Institute of Technology,AVIOT,,,4.0,284,Tamil Nadu,Chennai,Central University Affiliated,1997,FALSE,70.1,5.1,8.6,"Aarupadai Veedu Institute of Technology is a renowned institution located in Chennai, Tamil Nadu. It offers comprehensive higher education programs."
Aarupadai Veedu Medical College and Hospital,AVMCA,,,4.0,186,Pondicherry,Puducherry,Private Autonomous,2002,FALSE,96.1,7.2,23.5,"Aarupadai Veedu Medical College and Hospital is a renowned institution located in Puducherry, Pondicherry. It offers comprehensive higher education programs."
Abasaheb Garware Institute of Management Studies,AGIOM,,,4.8,47,Maharashtra,Sangli,Central University Affiliated,1971,FALSE,91.4,5.8,8.9,"Abasaheb Garware Institute of Management Studies is a renowned institution located in Sangli, Maharashtra. It offers comprehensive higher education programs."
Abhyayapuri College,AC,,,4.3,361,Assam,Bongaigaon,Central University Affiliated,1979,FALSE,76.6,7.4,36.5,"Abhyayapuri College is a renowned institution located in Bongaigaon, Assam. It offers comprehensive higher education programs."
Academy of Maritime Educatio,AOME,252,2024,3.5,245,Tamil Nadu,Kancheepuram,Central University Affiliated,1981,FALSE,77.6,6.2,30.9,"Academy of Maritime Educatio is a renowned institution located in Kancheepuram, Tamil Nadu. It offers comprehensive higher education programs."
Academy of Maritime Education and Training,AOMEA,,,3.9,201,Tamil Nadu,Kancheepuram,Private Autonomous,1973,FALSE,69.8,6.1,20.3,"Academy of Maritime Education and Training is a renowned institution located in Kancheepuram, Tamil Nadu. It offers comprehensive higher education programs."
Academy of Scientific & Innovative Research,AOSIR,18,2024,4.8,326,Uttar Pradesh,Ghaziabad,Private Autonomous,1992,TRUE,67.3,18.6,70.8,"Academy of Scientific & Innovative Research is a renowned institution located in Ghaziabad, Uttar Pradesh. It offers comprehensive higher education programs."
Academy of Scientific & Innovative Research,AOSIR,,,3.9,444,Uttar Pradesh,Ghaziabad,State University Affiliated,1951,FALSE,65.4,5.3,18.2,"Academy of Scientific & Innovative Research is a renowned institution located in Ghaziabad, Uttar Pradesh. It offers comprehensive higher education programs."
Academy of Technology,AOT,,,4.7,435,West Bengal,Hooghly,Central University Affiliated,1960,FALSE,89.3,3.5,12.7,"Academy of Technology is a renowned institution located in Hooghly, West Bengal. It offers comprehensive higher education programs."
Accurate Institute of Advanced Management,AIOAM,,,4.1,15,Uttar Pradesh,Greater Noida,State University Affiliated,1994,FALSE,68.9,6.9,33.1,"Accurate Institute of Advanced Management is a renowned institution located in Greater Noida, Uttar Pradesh. It offers comprehensive higher education programs."
Accurate Institute of Architecture & Planning,AIOAP,,,3.7,56,Uttar Pradesh,Greater Noida,Private Autonomous,1989,FALSE,56.4,5.2,11.6,"Accurate Institute of Architecture & Planning is a renowned institution located in Greater Noida, Uttar Pradesh. It offers comprehensive higher education programs."
Accurate Institute of Management & Technology,AIOMT,,,4.2,226,Uttar Pradesh,Greater Noida,State University Affiliated,1964,FALSE,56.4,6.5,30.7,"Accurate Institute of Management & Technology is a renowned institution located in Greater Noida, Uttar Pradesh. It offers comprehensive higher education programs."
Acharya Institute of Management and Science,AIOMA,,,4.7,52,Karnataka,Bengaluru,AICTE Approved,2000,FALSE,82.9,4.5,17.7,"Acharya Institute of Management and Science is a renowned institution located in Bengaluru, Karnataka. It offers comprehensive higher education programs."
Acharya Institute of Technology,AIOT,,,4.4,122,Karnataka,Bengaluru,AICTE Approved,1989,FALSE,59.5,3.6,8.1,"Acharya Institute of Technology is a renowned institution located in Bengaluru, Karnataka. It offers comprehensive higher education programs."
"Acharya Instiute Graduate Studies(of Journalism), Chikkabanavara",AIGSJ,,,4.3,268,Karnataka,Bengaluru,AICTE Approved,1957,FALSE,79.6,4.1,8.1,"Acharya Instiute Graduate Studies(of Journalism), Chikkabanavara is a renowned institution located in Bengaluru, Karnataka. It offers comprehensive higher education programs."
Acharya Narendra Dev College,ANDC,,,3.7,143,Delhi,New Delhi,State University Affiliated,1961,FALSE,56.6,4.3,16.1,"Acharya Narendra Dev College is a renowned institution located in New Delhi, Delhi. It offers comprehensive higher education programs."
"Acharya Patashala College of Commerce, N.R. Colony, Bangalore",APCOC,,,4.8,85,Karnataka,Bangalore,AICTE Approved,1954,FALSE,74.7,7.5,19.8,"Acharya Patashala College of Commerce, N.R. Colony, Bangalore is a renowned institution located in Bangalore, Karnataka. It offers comprehensive higher education programs."
Acharya Prafulla Chandra College,APCC,,,4.0,18,West Bengal,Kolkata,Central University Affiliated,1988,FALSE,88.3,5.8,16.1,"Acharya Prafulla Chandra College is a renowned institution located in Kolkata, West Bengal. It offers comprehensive higher education programs."
Acharya School of Design,ASOD,,,3.8,167,Karnataka,Bangalore,State University Affiliated,1957,FALSE,90.5,4.3,14.7,"Acharya School of Design is a renowned institution located in Bangalore, Karnataka. It offers comprehensive higher education programs."
"Acharya Sukumar Sen Mahavidyalaya, Burdwan",ASSMB,,,4.4,449,West Bengal,Burdwan,Private Autonomous,1985,FALSE,74.4,5.8,22.0,"Acharya Sukumar Sen Mahavidyalaya, Burdwan is a renowned institution located in Burdwan, West Bengal. It offers comprehensive higher education programs."
"Acharyar NRV School of Architecture, Bangalore",ANSOA,,,4.4,101,Karnataka,Bangalore,UGC Recognized,1952,FALSE,73.2,6.0,22.9,"Acharyar NRV School of Architecture, Bangalore is a renowned institution located in Bangalore, Karnataka. It offers comprehensive higher education programs."
"Acharyas Bangalore B School, Bangalore",ABBSB,,,4.6,196,Karnataka,Bangalore,Central University Affiliated,1961,FALSE,62.5,6.4,23.8,"Acharyas Bangalore B School, Bangalore is a renowned institution located in Bangalore, Karnataka. It offers comprehensive higher education programs."
Achievers College of Commerce and Management Night College,ACOCA,,,4.3,70,Maharashtra,Kalyan,Private Autonomous,1981,FALSE,78.0,6.9,21.7,"Achievers College of Commerce and Management Night College is a renowned institution located in Kalyan, Maharashtra. It offers comprehensive higher education programs."
"Acropolis Institute of Management Studies & Research, Manglia Chouraha, Indore",AIOMS,,,4.6,436,Madhya Pradesh,Indore,State University Affiliated,2010,FALSE,95.0,3.9,16.6,"Acropolis Institute of Management Studies & Research, Manglia Chouraha, Indore is a renowned institution located in Indore, Madhya Pradesh. It offers comprehensive higher education programs."
Acropolis Institute of Technology and Research,AIOTA,,,4.3,423,Madhya Pradesh,Indore,State University Affiliated,1981,FALSE,73.4,3.9,14.6,"Acropolis Institute of Technology and Research is a renowned institution located in Indore, Madhya Pradesh. It offers comprehensive higher education programs."
Adamas University,AU,,,4.8,28,West Bengal,Kolkata,AICTE Approved,2004,FALSE,78.0,5.2,21.8,"Adamas University is a renowned institution located in Kolkata, West Bengal. It offers comprehensive higher education programs."
Adani Institute of Infrastructure Engineering,AIOIE,,,3.5,198,Gujarat,Ahmedabad,Central University Affiliated,1994,FALSE,81.5,4.2,17.7,"Adani Institute of Infrastructure Engineering is a renowned institution located in Ahmedabad, Gujarat. It offers comprehensive higher education programs."
Adarsh College,AC,,,4.8,359,Madhya Pradesh,SHEOPUR,State University Affiliated,2005,FALSE,85.2,5.7,17.3,"Adarsh College is a renowned institution located in SHEOPUR, Madhya Pradesh. It offers comprehensive higher education programs."
Adarsh College,AC,,,3.6,403,Jharkhand,Dist. Giridih,Central University Affiliated,1965,FALSE,85.4,5.5,22.6,"Adarsh College is a renowned institution located in Dist. Giridih, Jharkhand. It offers comprehensive higher education programs."
"Adarsh Mahavidyalaya, Vita",AMV,,,4.1,426,Maharashtra,Sangli,AICTE Approved,1961,FALSE,94.5,3.9,9.9,"Adarsh Mahavidyalaya, Vita is a renowned institution located in Sangli, Maharashtra. It offers comprehensive higher education programs."
"Adarsh Science, Jairamdas Bhagchand Arts & Birla Commerce College, Dhamangaon",ASJBA,,,3.5,70,Maharashtra,Amravati,UGC Recognized,1961,FALSE,63.1,7.3,27.5,"Adarsh Science, Jairamdas Bhagchand Arts & Birla Commerce College, Dhamangaon is a renowned institution located in Amravati, Maharashtra. It offers comprehensive higher education programs."
"Adarsh Shikshan Sanstha`s Kalikadevi Arts, Commerce & Science College",ASSKA,,,4.0,162,Maharashtra,Shirur Kasar,Central University Affiliated,1966,FALSE,81.4,7.4,17.1,"Adarsh Shikshan Sanstha`s Kalikadevi Arts, Commerce & Science College is a renowned institution located in Shirur Kasar, Maharashtra. It offers comprehensive higher education programs."
"Adarsha Edu. Society's Arts Commerce & Science College, Hingoli",AESAC,,,3.5,231,Maharashtra,Hingoli,Private Autonomous,1977,FALSE,92.0,4.1,8.5,"Adarsha Edu. Society's Arts Commerce & Science College, Hingoli is a renowned institution located in Hingoli, Maharashtra. It offers comprehensive higher education programs."
Adharsh Vidyalaya College of Arts and Science for Women,AVCOA,,,4.8,87,Tamil Nadu,Bhavani Tk,UGC Recognized,1991,FALSE,98.7,7.1,25.1,"Adharsh Vidyalaya College of Arts and Science for Women is a renowned institution located in Bhavani Tk, Tamil Nadu. It offers comprehensive higher education programs."
Adhiparasakthi College of Arts and Science,ACOAA,,,4.9,208,Tamil Nadu,Raniipet,Central University Affiliated,1954,FALSE,57.4,7.1,13.9,"Adhiparasakthi College of Arts and Science is a renowned institution located in Raniipet, Tamil Nadu. It offers comprehensive higher education programs."
Adhiparasakthi Engineering College,AEC,,,4.4,382,Tamil Nadu,Chengalpat,AICTE Approved,1999,FALSE,67.3,5.5,26.6,"Adhiparasakthi Engineering College is a renowned institution located in Chengalpat, Tamil Nadu. It offers comprehensive higher education programs."
"Adhiyaman Arts and Science College for Women, Srinivasa Nagar",AAASC,,,4.8,201,Tamil Nadu,Krishnagiri,Central University Affiliated,1978,FALSE,59.5,4.9,22.0,"Adhiyaman Arts and Science College for Women, Srinivasa Nagar is a renowned institution located in Krishnagiri, Tamil Nadu. It offers comprehensive higher education programs."
Adi Shankara Institute of Engineering and Technology,ASIOE,,,3.8,341,Kerala,Kalady,UGC Recognized,1990,FALSE,93.3,3.9,9.8,"Adi Shankara Institute of Engineering and Technology is a renowned institution located in Kalady, Kerala. It offers comprehensive higher education programs."
Adichunchanagiri Institute of Medical Science,AIOMS,,,4.1,438,Karnataka,Nagamangala,Private Autonomous,1965,FALSE,56.3,4.1,15.8,"Adichunchanagiri Institute of Medical Science is a renowned institution located in Nagamangala, Karnataka. It offers comprehensive higher education programs."
Adichunchanagiri Institute of Technology,AIOT,,,4.2,363,Karnataka,Chikmagalur,AICTE Approved,1982,FALSE,73.0,6.2,24.7,"Adichunchanagiri Institute of Technology is a renowned institution located in Chikmagalur, Karnataka. It offers comprehensive higher education programs."
"Adina Institute of Science and Technology, Sagar",AIOSA,,,3.4,338,Madhya Pradesh,Sagar,Central University Affiliated,2001,FALSE,64.0,6.5,29.5,"Adina Institute of Science and Technology, Sagar is a renowned institution located in Sagar, Madhya Pradesh. It offers comprehensive higher education programs."
"Aditanar College of Arts & Science, Virapandianpattinam",ACOAS,,,4.7,428,Tamil Nadu,Thoothukkudi,Private Autonomous,2011,FALSE,84.3,3.8,13.5,"Aditanar College of Arts & Science, Virapandianpattinam is a renowned institution located in Thoothukkudi, Tamil Nadu. It offers comprehensive higher education programs."
Aditi Mahavidyalaya,AM,,,4.0,350,Delhi,Delhi,Central University Affiliated,1981,FALSE,59.7,5.0,9.8,"Aditi Mahavidyalaya is a renowned institution located in Delhi, Delhi. It offers comprehensive higher education programs."
Aditya College of Engineering,ACOE,,,3.9,237,Andhra Pradesh,Madanapalle,AICTE Approved,1951,FALSE,90.5,3.8,13.7,"Aditya College of Engineering is a renowned institution located in Madanapalle, Andhra Pradesh. It offers comprehensive higher education programs."
Aditya College of Engineering,ACOE,,,4.8,438,Andhra Pradesh,Surampalem,State University Affiliated,1953,FALSE,88.0,6.6,15.7,"Aditya College of Engineering is a renowned institution located in Surampalem, Andhra Pradesh. It offers comprehensive higher education programs."
Aditya College of Engineering & Technology,ACOET,,,3.6,225,Andhra Pradesh,Surampalem,UGC Recognized,1967,FALSE,88.1,5.5,22.7,"Aditya College of Engineering & Technology is a renowned institution located in Surampalem, Andhra Pradesh. It offers comprehensive higher education programs."
Aditya Degree College,ADC,,,3.9,77,Andhra Pradesh,Vizianagaram,Private Autonomous,1981,FALSE,65.6,5.5,9.1,"Aditya Degree College is a renowned institution located in Vizianagaram, Andhra Pradesh. It offers comprehensive higher education programs."
Aditya Degree College,ADC,,,3.9,52,Andhra Pradesh,Visakhapatnam,UGC Recognized,1994,FALSE,67.5,5.7,11.6,"Aditya Degree College is a renowned institution located in Visakhapatnam, Andhra Pradesh. It offers comprehensive higher education programs."
"Aditya Degree College for Women, Kakinada",ADCFW,,,4.7,424,Andhra Pradesh,KAKINADA,Central University Affiliated,2002,FALSE,72.9,6.4,19.8,"Aditya Degree College for Women, Kakinada is a renowned institution located in KAKINADA, Andhra Pradesh. It offers comprehensive higher education programs."
Aditya Engineering College,AEC,,,4.3,420,Andhra Pradesh,Surampalem,AICTE Approved,1974,FALSE,79.4,5.9,18.9,"Aditya Engineering College is a renowned institution located in Surampalem, Andhra Pradesh. It offers comprehensive higher education programs."
Aditya Institute of Management Studies and Research,AIOMS,,,4.1,180,Maharashtra,Mumbai,UGC Recognized,1984,FALSE,60.4,4.7,16.1,"Aditya Institute of Management Studies and Research is a renowned institution located in Mumbai, Maharashtra. It offers comprehensive higher education programs."
Aditya Institute of Technology and Management,AIOTA,,,3.8,118,Andhra Pradesh,Tekkali,AICTE Approved,1996,FALSE,87.1,6.9,25.7,"Aditya Institute of Technology and Management is a renowned institution located in Tekkali, Andhra Pradesh. It offers comprehensive higher education programs."
Adusumilli Gopalakrishnaiah & Sugarcane Growers Siddhartha Degree College of Arts & Science,AGSGS,,,3.6,31,Andhra Pradesh,Vuyyuru,State University Affiliated,1987,FALSE,77.5,7.3,16.9,"Adusumilli Gopalakrishnaiah & Sugarcane Growers Siddhartha Degree College of Arts & Science is a renowned institution located in Vuyyuru, Andhra Pradesh. It offers comprehensive higher education programs."
Aeya Institute of Engineering & Technology,AIOET,,,3.6,288,Rajasthan,Jaipur,AICTE Approved,1979,FALSE,94.5,3.7,12.4,"Aeya Institute of Engineering & Technology is a renowned institution located in Jaipur, Rajasthan. It offers comprehensive higher education programs."
