name,abbreviation,nirf_rank,state,city,affiliation,founded_year,is_premier,rating,placement_percentage,avg_package,highest_package,description
Horizon Academy of Engineering and Management Lucknow,HE Lucknow,382,Uttar Pradesh,Lucknow,Private Educational Trust,2004,False,3.7,79.7,4.0,10.8,"A prominent regional institution located in Lucknow, offering various programs in engineering and management."
Future College of Advanced Studies Thane,FA Thane,360,Maharashtra,Thane,State Govt. Autonomous,1996,False,3.9,66.4,5.8,15.9,"A prominent regional institution located in Thane, offering various programs in advanced studies."
Meridian Institute of Technology and Science Indore,MT Indore,167,Madhya Pradesh,Indore,Deemed University,1981,False,3.9,71.4,7.2,20.5,"A prominent regional institution located in Indore, offering various programs in technology and science."
Excel Academy of Business Administration Hyderabad,EB Hyderabad,182,Telangana,Hyderabad,Private Educational Trust,1989,False,3.0,55.7,5.0,21.1,"A prominent regional institution located in Hyderabad, offering various programs in business administration."
Global Institute of Computing Sciences Visakhapatnam,GC Visakhapatnam,574,Andhra Pradesh,Visakhapatnam,AICTE Approved Private,2001,False,4.0,68.0,4.0,18.1,"A prominent regional institution located in Visakhapatnam, offering various programs in computing sciences."
Sunrise Academy of Engineering and Management Thane,SE Thane,228,Maharashtra,Thane,Private Educational Trust,1991,False,3.3,74.3,4.6,9.2,"A prominent regional institution located in Thane, offering various programs in engineering and management."
Horizon College of Advanced Studies Indore,HA Indore,716,Madhya Pradesh,Indore,Private Educational Trust,1982,False,3.7,56.8,4.9,19.3,"A prominent regional institution located in Indore, offering various programs in advanced studies."
Meridian Academy of Advanced Studies Nagpur,MA Nagpur,544,Maharashtra,Nagpur,Private Educational Trust,1980,False,3.3,56.8,4.4,17.2,"A prominent regional institution located in Nagpur, offering various programs in advanced studies."
Royal Academy of Technology and Science Hyderabad,RT Hyderabad,729,Telangana,Hyderabad,State Govt. Autonomous,1990,False,3.4,78.5,6.3,18.3,"A prominent regional institution located in Hyderabad, offering various programs in technology and science."
Sunrise School of Business Administration Chennai,SB Chennai,310,Tamil Nadu,Chennai,Deemed University,2000,False,3.9,58.9,6.8,14.8,"A prominent regional institution located in Chennai, offering various programs in business administration."
Meridian Academy of Advanced Studies Thane,MA Thane,558,Maharashtra,Thane,Private Educational Trust,1994,False,4.0,61.4,6.1,10.3,"A prominent regional institution located in Thane, offering various programs in advanced studies."
Apex Academy of Business Administration Kanpur,AB Kanpur,278,Uttar Pradesh,Kanpur,Deemed University,1996,False,3.5,56.5,7.2,14.9,"A prominent regional institution located in Kanpur, offering various programs in business administration."
Horizon Institute of Engineering and Management Lucknow,HE Lucknow,609,Uttar Pradesh,Lucknow,State Govt. Autonomous,1985,False,3.8,58.2,3.8,17.8,"A prominent regional institution located in Lucknow, offering various programs in engineering and management."
Royal College of Engineering and Management Pune,RE Pune,330,Maharashtra,Pune,Deemed University,2016,False,3.7,65.4,4.8,18.9,"A prominent regional institution located in Pune, offering various programs in engineering and management."
Royal College of Business Administration Thane,RB Thane,176,Maharashtra,Thane,Private Educational Trust,2016,False,3.6,67.2,6.5,8.2,"A prominent regional institution located in Thane, offering various programs in business administration."
Vertex College of Technology and Science Surat,VT Surat,793,Gujarat,Surat,Deemed University,2010,False,3.5,82.8,3.6,21.7,"A prominent regional institution located in Surat, offering various programs in technology and science."
Royal School of Technology and Science Mumbai,RT Mumbai,468,Maharashtra,Mumbai,Private Educational Trust,2010,False,3.8,78.8,4.7,13.0,"A prominent regional institution located in Mumbai, offering various programs in technology and science."
Sunrise Institute of Computing Sciences Ahmedabad,SC Ahmedabad,119,Gujarat,Ahmedabad,UGC Recognized Private,2006,False,3.3,77.5,6.0,8.2,"A prominent regional institution located in Ahmedabad, offering various programs in computing sciences."
Excel Institute of Technology and Science Chennai,ET Chennai,313,Tamil Nadu,Chennai,Private Educational Trust,1990,False,3.5,60.0,6.2,21.3,"A prominent regional institution located in Chennai, offering various programs in technology and science."
Excel Academy of Technology and Science Hyderabad,ET Hyderabad,648,Telangana,Hyderabad,AICTE Approved Private,2000,False,3.1,59.5,7.4,12.6,"A prominent regional institution located in Hyderabad, offering various programs in technology and science."
Future Institute of Engineering and Management Jaipur,FE Jaipur,568,Rajasthan,Jaipur,Deemed University,2018,False,3.4,75.6,4.0,10.9,"A prominent regional institution located in Jaipur, offering various programs in engineering and management."
Meridian College of Engineering and Management Pune,ME Pune,588,Maharashtra,Pune,UGC Recognized Private,2011,False,3.3,66.5,5.5,24.5,"A prominent regional institution located in Pune, offering various programs in engineering and management."
Vertex College of Engineering and Management Jaipur,VE Jaipur,613,Rajasthan,Jaipur,UGC Recognized Private,1981,False,3.7,62.3,5.7,20.4,"A prominent regional institution located in Jaipur, offering various programs in engineering and management."
Meridian College of Engineering and Management Pimpri-Chinchwad,ME Pimpri-Chinchwad,232,Maharashtra,Pimpri-Chinchwad,Deemed University,2004,False,3.9,57.7,6.7,24.0,"A prominent regional institution located in Pimpri-Chinchwad, offering various programs in engineering and management."
Future Academy of Advanced Studies Chennai,FA Chennai,780,Tamil Nadu,Chennai,UGC Recognized Private,2009,False,3.7,64.4,5.8,17.1,"A prominent regional institution located in Chennai, offering various programs in advanced studies."
Vertex Academy of Computing Sciences Jaipur,VC Jaipur,190,Rajasthan,Jaipur,AICTE Approved Private,2011,False,3.2,73.2,4.7,10.6,"A prominent regional institution located in Jaipur, offering various programs in computing sciences."
Royal College of Technology and Science Bhopal,RT Bhopal,642,Madhya Pradesh,Bhopal,UGC Recognized Private,1981,False,3.5,62.2,4.1,14.7,"A prominent regional institution located in Bhopal, offering various programs in technology and science."
Excel School of Engineering and Management Indore,EE Indore,756,Madhya Pradesh,Indore,Private Educational Trust,2011,False,3.6,73.7,4.5,20.0,"A prominent regional institution located in Indore, offering various programs in engineering and management."
Sunrise Academy of Computing Sciences Nagpur,SC Nagpur,429,Maharashtra,Nagpur,State Govt. Autonomous,1991,False,3.8,66.0,6.8,13.6,"A prominent regional institution located in Nagpur, offering various programs in computing sciences."
Pioneer College of Technology and Science Nagpur,PT Nagpur,646,Maharashtra,Nagpur,AICTE Approved Private,2002,False,3.6,65.0,4.4,10.1,"A prominent regional institution located in Nagpur, offering various programs in technology and science."
Meridian School of Business Administration Mumbai,MB Mumbai,727,Maharashtra,Mumbai,AICTE Approved Private,2017,False,3.1,66.1,5.9,9.1,"A prominent regional institution located in Mumbai, offering various programs in business administration."
Global School of Business Administration Lucknow,GB Lucknow,340,Uttar Pradesh,Lucknow,UGC Recognized Private,2012,False,3.8,81.9,3.6,22.2,"A prominent regional institution located in Lucknow, offering various programs in business administration."
Royal Academy of Advanced Studies Chennai,RA Chennai,437,Tamil Nadu,Chennai,Deemed University,2003,False,3.3,82.4,4.6,21.6,"A prominent regional institution located in Chennai, offering various programs in advanced studies."
Apex Academy of Technology and Science Nagpur,AT Nagpur,576,Maharashtra,Nagpur,State Govt. Autonomous,2013,False,3.6,58.5,6.6,9.7,"A prominent regional institution located in Nagpur, offering various programs in technology and science."
Meridian School of Advanced Studies Bangalore,MA Bangalore,605,Karnataka,Bangalore,Private Educational Trust,2007,False,3.0,61.1,3.6,12.9,"A prominent regional institution located in Bangalore, offering various programs in advanced studies."
Excel Institute of Computing Sciences Thane,EC Thane,185,Maharashtra,Thane,UGC Recognized Private,1993,False,3.8,69.0,7.0,15.0,"A prominent regional institution located in Thane, offering various programs in computing sciences."
Global Academy of Computing Sciences Ahmedabad,GC Ahmedabad,336,Gujarat,Ahmedabad,Deemed University,2002,False,3.5,76.6,6.4,22.1,"A prominent regional institution located in Ahmedabad, offering various programs in computing sciences."
Excel Academy of Engineering and Management Kanpur,EE Kanpur,175,Uttar Pradesh,Kanpur,Private Educational Trust,2004,False,3.5,56.8,4.7,19.7,"A prominent regional institution located in Kanpur, offering various programs in engineering and management."
Global School of Technology and Science Ahmedabad,GT Ahmedabad,465,Gujarat,Ahmedabad,Private Educational Trust,2013,False,3.0,67.4,6.8,8.2,"A prominent regional institution located in Ahmedabad, offering various programs in technology and science."
Future School of Business Administration Surat,FB Surat,671,Gujarat,Surat,Private Educational Trust,1987,False,3.4,84.4,5.5,24.5,"A prominent regional institution located in Surat, offering various programs in business administration."
Global School of Computing Sciences Lucknow,GC Lucknow,494,Uttar Pradesh,Lucknow,AICTE Approved Private,1995,False,3.1,84.2,4.1,21.4,"A prominent regional institution located in Lucknow, offering various programs in computing sciences."
Sunrise School of Business Administration Hyderabad,SB Hyderabad,583,Telangana,Hyderabad,AICTE Approved Private,2018,False,4.1,73.3,6.5,17.5,"A prominent regional institution located in Hyderabad, offering various programs in business administration."
Pioneer College of Advanced Studies Delhi,PA Delhi,680,Delhi,Delhi,AICTE Approved Private,1989,False,3.2,80.8,6.0,9.1,"A prominent regional institution located in Delhi, offering various programs in advanced studies."
Royal Institute of Computing Sciences Thane,RC Thane,184,Maharashtra,Thane,UGC Recognized Private,1989,False,3.5,67.4,4.3,16.9,"A prominent regional institution located in Thane, offering various programs in computing sciences."
Pioneer Academy of Business Administration Vadodara,PB Vadodara,419,Gujarat,Vadodara,Deemed University,1986,False,3.6,67.0,5.3,22.1,"A prominent regional institution located in Vadodara, offering various programs in business administration."
Sunrise Institute of Engineering and Management Bangalore,SE Bangalore,350,Karnataka,Bangalore,AICTE Approved Private,2018,False,4.0,72.2,4.1,21.2,"A prominent regional institution located in Bangalore, offering various programs in engineering and management."
Royal Institute of Advanced Studies Pimpri-Chinchwad,RA Pimpri-Chinchwad,358,Maharashtra,Pimpri-Chinchwad,Private Educational Trust,2011,False,3.2,75.0,6.8,15.9,"A prominent regional institution located in Pimpri-Chinchwad, offering various programs in advanced studies."
Global Academy of Engineering and Management Mumbai,GE Mumbai,550,Maharashtra,Mumbai,Deemed University,1982,False,3.5,61.1,7.3,13.8,"A prominent regional institution located in Mumbai, offering various programs in engineering and management."
Sunrise Academy of Business Administration Mumbai,SB Mumbai,754,Maharashtra,Mumbai,Deemed University,1986,False,3.9,79.3,3.7,24.4,"A prominent regional institution located in Mumbai, offering various programs in business administration."
Excel Academy of Business Administration Bangalore,EB Bangalore,393,Karnataka,Bangalore,Deemed University,2016,False,3.3,75.3,6.0,17.1,"A prominent regional institution located in Bangalore, offering various programs in business administration."
Horizon School of Computing Sciences Bangalore,HC Bangalore,165,Karnataka,Bangalore,Private Educational Trust,1997,False,3.9,66.4,4.2,24.0,"A prominent regional institution located in Bangalore, offering various programs in computing sciences."
Apex College of Engineering and Management Bangalore,AE Bangalore,152,Karnataka,Bangalore,Private Educational Trust,1981,False,3.8,60.2,6.9,18.8,"A prominent regional institution located in Bangalore, offering various programs in engineering and management."
Royal Academy of Advanced Studies Delhi,RA Delhi,376,Delhi,Delhi,Deemed University,1993,False,3.6,73.8,7.0,8.7,"A prominent regional institution located in Delhi, offering various programs in advanced studies."
Global College of Computing Sciences Ahmedabad,GC Ahmedabad,125,Gujarat,Ahmedabad,AICTE Approved Private,1990,False,3.7,60.1,6.8,14.2,"A prominent regional institution located in Ahmedabad, offering various programs in computing sciences."
Vertex Academy of Business Administration Visakhapatnam,VB Visakhapatnam,507,Andhra Pradesh,Visakhapatnam,Deemed University,2003,False,4.1,68.3,6.6,14.6,"A prominent regional institution located in Visakhapatnam, offering various programs in business administration."
Apex Academy of Technology and Science Visakhapatnam,AT Visakhapatnam,328,Andhra Pradesh,Visakhapatnam,Private Educational Trust,1984,False,3.2,80.0,6.1,12.7,"A prominent regional institution located in Visakhapatnam, offering various programs in technology and science."
Vertex College of Engineering and Management Kolkata,VE Kolkata,281,West Bengal,Kolkata,State Govt. Autonomous,2013,False,4.1,59.1,4.7,13.2,"A prominent regional institution located in Kolkata, offering various programs in engineering and management."
Future College of Technology and Science Patna,FT Patna,390,Bihar,Patna,Deemed University,2015,False,3.7,70.9,3.7,19.5,"A prominent regional institution located in Patna, offering various programs in technology and science."
Apex School of Business Administration Pune,AB Pune,206,Maharashtra,Pune,UGC Recognized Private,1980,False,3.1,68.7,7.0,13.3,"A prominent regional institution located in Pune, offering various programs in business administration."
Global School of Business Administration Pimpri-Chinchwad,GB Pimpri-Chinchwad,278,Maharashtra,Pimpri-Chinchwad,Deemed University,2002,False,3.2,68.8,3.5,18.4,"A prominent regional institution located in Pimpri-Chinchwad, offering various programs in business administration."
Sunrise College of Engineering and Management Chennai,SE Chennai,732,Tamil Nadu,Chennai,UGC Recognized Private,2011,False,4.1,63.5,5.7,14.5,"A prominent regional institution located in Chennai, offering various programs in engineering and management."
Meridian Academy of Advanced Studies Jaipur,MA Jaipur,661,Rajasthan,Jaipur,AICTE Approved Private,1999,False,3.3,77.7,6.4,10.0,"A prominent regional institution located in Jaipur, offering various programs in advanced studies."
Apex Institute of Technology and Science Thane,AT Thane,493,Maharashtra,Thane,Deemed University,1988,False,3.4,68.0,3.9,15.4,"A prominent regional institution located in Thane, offering various programs in technology and science."
Royal Academy of Technology and Science Indore,RT Indore,113,Madhya Pradesh,Indore,UGC Recognized Private,1999,False,3.6,66.5,6.9,22.6,"A prominent regional institution located in Indore, offering various programs in technology and science."
Sunrise College of Computing Sciences Bhopal,SC Bhopal,440,Madhya Pradesh,Bhopal,Deemed University,2014,False,4.0,76.1,6.6,24.2,"A prominent regional institution located in Bhopal, offering various programs in computing sciences."
Royal School of Technology and Science Nagpur,RT Nagpur,287,Maharashtra,Nagpur,AICTE Approved Private,2010,False,3.2,71.8,7.4,8.3,"A prominent regional institution located in Nagpur, offering various programs in technology and science."
Sunrise Institute of Computing Sciences Nagpur,SC Nagpur,306,Maharashtra,Nagpur,AICTE Approved Private,2006,False,3.5,58.9,6.6,11.9,"A prominent regional institution located in Nagpur, offering various programs in computing sciences."
Apex Institute of Business Administration Thane,AB Thane,591,Maharashtra,Thane,Private Educational Trust,1982,False,3.4,79.3,5.7,8.9,"A prominent regional institution located in Thane, offering various programs in business administration."
Global Academy of Computing Sciences Bangalore,GC Bangalore,633,Karnataka,Bangalore,AICTE Approved Private,1984,False,3.2,69.5,4.9,20.2,"A prominent regional institution located in Bangalore, offering various programs in computing sciences."
Horizon School of Computing Sciences Pimpri-Chinchwad,HC Pimpri-Chinchwad,250,Maharashtra,Pimpri-Chinchwad,UGC Recognized Private,1993,False,3.6,57.2,3.8,23.7,"A prominent regional institution located in Pimpri-Chinchwad, offering various programs in computing sciences."
Meridian College of Advanced Studies Visakhapatnam,MA Visakhapatnam,677,Andhra Pradesh,Visakhapatnam,Deemed University,2009,False,3.5,61.8,6.1,10.0,"A prominent regional institution located in Visakhapatnam, offering various programs in advanced studies."
Horizon Institute of Technology and Science Mumbai,HT Mumbai,557,Maharashtra,Mumbai,State Govt. Autonomous,1995,False,3.3,69.0,6.5,10.0,"A prominent regional institution located in Mumbai, offering various programs in technology and science."
Meridian School of Engineering and Management Kanpur,ME Kanpur,161,Uttar Pradesh,Kanpur,UGC Recognized Private,2017,False,3.2,81.4,5.7,13.8,"A prominent regional institution located in Kanpur, offering various programs in engineering and management."
Royal Institute of Computing Sciences Jaipur,RC Jaipur,610,Rajasthan,Jaipur,AICTE Approved Private,2006,False,3.8,81.6,5.4,14.4,"A prominent regional institution located in Jaipur, offering various programs in computing sciences."
Royal College of Computing Sciences Lucknow,RC Lucknow,291,Uttar Pradesh,Lucknow,State Govt. Autonomous,2003,False,3.6,77.9,5.0,16.0,"A prominent regional institution located in Lucknow, offering various programs in computing sciences."
Future College of Computing Sciences Indore,FC Indore,583,Madhya Pradesh,Indore,UGC Recognized Private,2012,False,3.6,64.9,3.8,22.2,"A prominent regional institution located in Indore, offering various programs in computing sciences."
Sunrise College of Advanced Studies Indore,SA Indore,182,Madhya Pradesh,Indore,UGC Recognized Private,2007,False,3.2,64.4,3.6,15.9,"A prominent regional institution located in Indore, offering various programs in advanced studies."
Vertex College of Engineering and Management Bhopal,VE Bhopal,130,Madhya Pradesh,Bhopal,Deemed University,1985,False,3.6,69.2,3.8,13.2,"A prominent regional institution located in Bhopal, offering various programs in engineering and management."
Horizon Institute of Computing Sciences Kanpur,HC Kanpur,100,Uttar Pradesh,Kanpur,AICTE Approved Private,1989,False,4.1,77.1,4.8,24.2,"A prominent regional institution located in Kanpur, offering various programs in computing sciences."
Apex Institute of Engineering and Management Kanpur,AE Kanpur,540,Uttar Pradesh,Kanpur,UGC Recognized Private,2002,False,3.9,58.9,7.0,16.4,"A prominent regional institution located in Kanpur, offering various programs in engineering and management."
Global Academy of Advanced Studies Indore,GA Indore,263,Madhya Pradesh,Indore,State Govt. Autonomous,1994,False,3.1,68.3,4.8,19.5,"A prominent regional institution located in Indore, offering various programs in advanced studies."
Vertex College of Engineering and Management Nagpur,VE Nagpur,117,Maharashtra,Nagpur,UGC Recognized Private,2011,False,3.0,74.6,5.0,11.5,"A prominent regional institution located in Nagpur, offering various programs in engineering and management."
Future Academy of Technology and Science Delhi,FT Delhi,649,Delhi,Delhi,Deemed University,2015,False,3.5,59.5,3.5,21.2,"A prominent regional institution located in Delhi, offering various programs in technology and science."
Apex College of Computing Sciences Patna,AC Patna,600,Bihar,Patna,UGC Recognized Private,2012,False,3.2,84.4,5.1,8.5,"A prominent regional institution located in Patna, offering various programs in computing sciences."
Sunrise School of Computing Sciences Pune,SC Pune,137,Maharashtra,Pune,State Govt. Autonomous,1991,False,3.5,79.7,7.4,8.2,"A prominent regional institution located in Pune, offering various programs in computing sciences."
Pioneer College of Computing Sciences Delhi,PC Delhi,435,Delhi,Delhi,Deemed University,2001,False,3.1,58.0,7.2,14.5,"A prominent regional institution located in Delhi, offering various programs in computing sciences."
Future College of Technology and Science Bhopal,FT Bhopal,417,Madhya Pradesh,Bhopal,Deemed University,2000,False,3.6,68.1,5.1,19.2,"A prominent regional institution located in Bhopal, offering various programs in technology and science."
Excel School of Advanced Studies Thane,EA Thane,226,Maharashtra,Thane,UGC Recognized Private,1982,False,3.1,74.4,6.5,20.0,"A prominent regional institution located in Thane, offering various programs in advanced studies."
Royal Institute of Business Administration Lucknow,RB Lucknow,452,Uttar Pradesh,Lucknow,Deemed University,1993,False,3.7,55.2,5.9,19.6,"A prominent regional institution located in Lucknow, offering various programs in business administration."
Horizon Institute of Technology and Science Lucknow,HT Lucknow,690,Uttar Pradesh,Lucknow,UGC Recognized Private,2010,False,3.9,62.6,6.0,20.8,"A prominent regional institution located in Lucknow, offering various programs in technology and science."
Meridian Institute of Advanced Studies Visakhapatnam,MA Visakhapatnam,186,Andhra Pradesh,Visakhapatnam,State Govt. Autonomous,2005,False,3.6,84.8,4.5,18.6,"A prominent regional institution located in Visakhapatnam, offering various programs in advanced studies."
Royal College of Engineering and Management Hyderabad,RE Hyderabad,692,Telangana,Hyderabad,UGC Recognized Private,1984,False,3.3,58.9,4.6,17.3,"A prominent regional institution located in Hyderabad, offering various programs in engineering and management."
Global College of Business Administration Hyderabad,GB Hyderabad,765,Telangana,Hyderabad,State Govt. Autonomous,2016,False,3.5,65.5,3.9,9.8,"A prominent regional institution located in Hyderabad, offering various programs in business administration."
Meridian Institute of Technology and Science Nagpur,MT Nagpur,628,Maharashtra,Nagpur,Private Educational Trust,1992,False,3.7,58.4,5.7,8.2,"A prominent regional institution located in Nagpur, offering various programs in technology and science."
Global College of Business Administration Surat,GB Surat,493,Gujarat,Surat,State Govt. Autonomous,1997,False,3.8,81.4,4.9,17.6,"A prominent regional institution located in Surat, offering various programs in business administration."
Global Institute of Technology and Science Vadodara,GT Vadodara,392,Gujarat,Vadodara,UGC Recognized Private,1985,False,3.1,60.4,4.4,19.2,"A prominent regional institution located in Vadodara, offering various programs in technology and science."
Horizon College of Advanced Studies Pune,HA Pune,790,Maharashtra,Pune,AICTE Approved Private,2012,False,3.8,61.4,6.4,15.6,"A prominent regional institution located in Pune, offering various programs in advanced studies."
